Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2014",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
,Medford Township,15,0,,0,12,171,41,130,0,1
,Mendham,2,0,,0,2,44,5,39,0,0
,Mendham Township,0,0,,0,0,31,12,19,0,0
,Merchantville,7,0,,3,4,101,26,73,2,1
,Metuchen,9,0,,6,3,145,31,111,3,0
,Middlesex,11,0,,3,5,130,31,92,7,0
,Middle Township,45,0,,12,26,628,107,502,19,2
,Middletown Township,24,0,,5,16,546,111,424,11,2
,Midland Park,0,0,,0,0,45,3,42,0,0
,Millburn Township,9,0,,7,2,344,31,304,9,2
,Milltown,1,0,,1,0,58,6,49,3,0
,Millville,199,5,,85,97,"1,934",373,"1,531",30,4
,Mine Hill Township,1,0,,0,1,30,19,10,1,1
,Monmouth Beach,2,0,,0,2,59,8,50,1,0
,Monroe Township,48,1,,20,24,684,178,480,26,0
,"Monroe Township, Middlesex County",10,0,,2,8,208,31,170,7,0
,Montclair,46,0,,29,15,566,146,394,26,2
,Montgomery Township,2,1,,1,0,116,28,82,6,1
,Montvale,0,0,,0,0,42,9,29,4,0
,Montville Township,10,0,,3,4,145,26,115,4,0
,Moonachie,2,1,,0,1,55,4,45,6,0
,Moorestown Township,38,0,,25,10,369,51,314,4,1
,Morris Plains,4,0,,2,2,51,4,47,0,0
,Morristown,43,0,,17,24,338,47,284,7,0
,Morris Township,11,0,,2,8,152,29,115,8,0
,Mountain Lakes,0,0,,0,0,57,7,48,2,0
,Mountainside,1,0,,0,1,26,3,23,0,0
,Mount Arlington,2,0,,0,2,30,6,23,1,0
,Mount Ephraim,12,0,,8,4,132,19,112,1,0
,Mount Holly Township,45,0,,17,25,276,59,209,8,1
,Mount Laurel Township,28,1,,12,8,644,114,514,16,1
,Mount Olive Township,13,1,,1,8,218,29,183,6,2
,Mullica Township,4,1,,0,3,83,35,46,2,13
,National Park,3,0,,1,2,55,14,39,2,3
,Neptune City,14,0,,5,9,183,27,153,3,1
,Neptune Township,172,0,,40,127,"1,398",172,"1,200",26,8
,Netcong,3,0,,0,3,38,16,22,0,1
,Newark,"3,008",93,,"1,922",944,"7,958","1,736","3,810","2,412",39
,New Brunswick,418,4,,222,174,"1,582",523,979,80,11
,Newfield,1,0,,0,1,15,5,9,1,0
,New Hanover Township,1,0,,0,0,1,0,1,0,0
,New Milford,2,0,,1,1,78,17,60,1,1
,Newton,9,0,,5,4,128,19,106,3,0
,North Arlington,19,0,,5,13,177,19,141,17,2
,North Bergen Township,115,0,,42,65,684,115,479,90,3
,North Brunswick Township,56,1,,26,28,867,188,638,41,0
,North Caldwell,0,0,,0,0,18,6,12,0,0
,Northfield,0,0,,0,0,71,13,55,3,0
,North Haledon,12,0,,0,12,39,10,29,0,0
,North Hanover Township,11,0,,2,4,39,3,33,3,0
,North Plainfield,36,0,,19,16,323,75,233,15,4
,Northvale,2,0,,1,1,14,0,14,0,0
,North Wildwood,7,0,,2,5,257,52,201,4,1
,Norwood,1,0,,0,1,11,5,4,2,0
,Nutley Township,15,0,,4,10,252,56,184,12,1
,Oakland,3,0,,1,2,157,17,138,2,1
,Oaklyn,6,0,,3,3,104,17,85,2,0
,Ocean City,13,0,,3,10,475,84,384,7,0
,Ocean Gate,0,0,,0,0,35,11,22,2,0
,Oceanport,7,0,,2,5,59,10,45,4,0
,"Ocean Township, Monmouth County",47,0,,17,27,732,108,611,13,0
,"Ocean Township, Ocean County",2,1,,0,0,79,6,72,1,0
,Ogdensburg,0,0,,0,0,6,1,5,0,0
,Old Bridge Township,29,0,,12,16,790,88,664,38,2
,Old Tappan,0,0,,0,0,13,2,11,0,0
,Orange,318,0,,190,122,"1,102",312,493,297,1
,Oxford Township,1,0,,0,1,12,3,9,0,0
,Palisades Park,14,0,,4,10,109,38,69,2,1
,Palmyra,13,0,,0,10,171,25,136,10,1
,Paramus,23,0,,14,8,"1,196",37,"1,123",36,0
,Park Ridge,10,0,,0,8,36,5,28,3,0
,Parsippany-Troy Hills Township,37,0,,8,22,448,93,329,26,0
,Passaic,464,2,,223,234,"1,137",229,747,161,6
,Paterson,"1,192",24,,612,531,"3,856","1,157","1,957",742,13
,Paulsboro,20,1,,12,7,227,73,148,6,2
,Peapack and Gladstone,0,0,,0,0,10,3,7,0,0
,Pemberton,0,0,,0,0,17,6,11,0,1
,Pemberton Township,101,1,,26,53,563,230,313,20,13
,Pennington,2,0,,0,2,14,4,10,0,0
,Pennsauken Township,82,0,,45,36,977,244,673,60,0
,Penns Grove,39,1,,12,21,160,46,105,9,3
,Pennsville Township,13,0,,3,10,280,57,222,1,0
,Pequannock Township,13,0,,2,10,111,23,86,2,0
,Perth Amboy,247,2,,79,157,987,252,642,93,8
,Phillipsburg,26,0,,9,10,340,68,252,20,7
,Pine Beach,2,0,,0,2,10,2,8,0,1
,Pine Hill,39,1,,9,29,297,80,209,8,1
,Pine Valley,0,0,,0,0,0,0,0,0,0
,Piscataway Township,49,0,,15,32,585,160,402,23,1
,Pitman,5,0,,1,4,102,15,85,2,0
,Plainfield,361,3,,134,213,"1,211",320,828,63,2
,Plainsboro Township,6,0,,1,5,122,21,94,7,0
,Pleasantville,169,3,,76,80,426,167,228,31,4
,Plumsted Township,3,0,,0,2,47,8,29,10,0
,Pohatcong Township,3,0,,0,3,153,9,142,2,0
,Point Pleasant,8,0,,0,8,220,39,179,2,0
,Point Pleasant Beach,3,0,,1,1,160,20,138,2,0
,Pompton Lakes,9,0,,2,6,93,13,78,2,0
,Princeton,20,0,,6,13,270,52,215,3,1
,Prospect Park,9,0,,6,3,109,27,70,12,0
,Rahway,52,0,,27,25,313,70,210,33,0
,Ramsey,10,0,,3,6,156,7,143,6,1
,Randolph Township,7,0,,3,4,181,25,152,4,1
,Raritan,4,0,,2,2,153,32,118,3,0
,Raritan Township,11,0,,2,9,152,23,125,4,0
,Readington Township,1,0,,1,0,126,25,99,2,0
,Red Bank,24,0,,12,11,275,19,248,8,4
,Ridgefield,1,0,,0,1,52,14,33,5,1
,Ridgefield Park,12,0,,1,10,126,18,104,4,2
,Ridgewood,6,0,,2,4,177,44,130,3,0
,Ringwood,5,1,,0,3,60,14,43,3,0
,Riverdale,2,0,,0,2,162,7,149,6,0
,River Edge,2,0,,0,2,68,17,50,1,1
,Riverside Township,13,0,,4,6,64,15,49,0,2
,Riverton,0,0,,0,0,26,7,19,0,0
,River Vale Township,1,0,,0,1,17,2,15,0,0
,Robbinsville Township,7,0,,1,5,106,35,63,8,1
,Rochelle Park Township,5,0,,4,0,98,12,83,3,0
,Rockaway,2,0,,1,1,53,12,40,1,0
,Rockaway Township,11,0,,4,6,426,46,374,6,1
,Rockleigh,0,0,,0,0,3,2,1,0,0
,Roseland,3,0,,1,2,38,14,21,3,0
,Roselle,65,0,,32,33,376,105,232,39,1
,Roselle Park,11,0,,5,5,121,25,86,10,0
,Roxbury Township,4,1,,3,0,284,30,249,5,0
,Rumson,4,0,,0,4,42,9,32,1,0
,Runnemede,21,0,,6,14,310,78,220,12,0
,Rutherford,8,0,,2,6,259,33,218,8,4
,Saddle Brook Township,10,0,,2,5,288,14,248,26,1
,Saddle River,0,0,,0,0,20,4,13,3,0
,Salem,67,1,,18,46,277,79,193,5,5
,Sayreville,36,0,,12,24,465,95,339,31,1
,Scotch Plains Township,19,1,,11,7,234,52,177,5,0
,Sea Bright,1,0,,0,1,26,0,25,1,0
,Sea Girt,4,0,,1,3,20,5,15,0,0
,Sea Isle City,0,0,,0,0,187,25,160,2,0
,Seaside Heights,35,0,,5,30,203,38,163,2,0
,Seaside Park,1,0,,0,0,48,14,33,1,0
,Secaucus,37,0,,15,22,509,25,461,23,0
,Ship Bottom,2,0,,1,1,25,2,23,0,0
,Shrewsbury,2,0,,0,2,68,14,54,0,0
,Somerdale,9,0,,5,3,320,33,281,6,0
,Somers Point,24,0,,9,15,334,60,273,1,0
,Somerville,20,1,,13,5,186,25,151,10,2
,South Amboy,13,0,,5,8,145,29,104,12,0
,South Bound Brook,1,0,,1,0,35,8,27,0,0
,South Brunswick Township,10,0,,3,4,387,114,258,15,5
,South Hackensack Township,11,0,,0,11,28,2,24,2,1
,South Harrison Township,0,0,,0,0,32,24,7,1,0
,South Orange,24,0,,19,4,253,36,190,27,0
,South Plainfield,19,0,,9,10,381,50,322,9,1
,South River,24,0,,7,13,155,27,127,1,0
,South Toms River,15,0,,7,4,110,27,81,2,0
,Sparta Township,9,0,,0,7,79,12,66,1,0
,Spotswood,1,0,,0,1,61,8,49,4,2
,Springfield,2,0,,0,2,165,23,135,7,1
,Springfield Township,0,0,,0,0,38,19,18,1,0
,Spring Lake,0,0,,0,0,54,14,40,0,0
,Spring Lake Heights,1,0,,1,0,22,10,12,0,1
,Stafford Township,17,0,,3,13,340,48,280,12,0
,Stanhope,4,0,,0,3,41,7,34,0,0
,Stone Harbor,1,0,,0,1,104,18,85,1,0
,Stratford,11,1,,4,6,107,28,75,4,0
,Summit,12,0,,4,8,174,26,145,3,0
,Surf City,1,0,,0,1,21,1,20,0,0
,Swedesboro,2,0,,1,1,28,8,19,1,1
,Tavistock,0,0,,0,0,0,0,0,0,0
,Teaneck Township,50,0,,19,28,469,110,343,16,3
,Tenafly,1,0,,1,0,93,25,65,3,0
,Tewksbury Township,2,0,,0,2,20,8,11,1,0
,Tinton Falls,3,0,,0,2,305,23,276,6,0
,Toms River Township,79,0,,30,42,"2,466",484,"1,960",22,4
,Totowa,16,0,,4,12,330,29,271,30,0
,Trenton,931,32,,403,473,"2,029",819,870,340,26
,Tuckerton,4,0,,0,4,58,6,50,2,0
,Union Beach,2,0,,1,1,77,19,56,2,1
,Union City,239,0,,98,140,"1,186",189,891,106,4
,Union Township,89,0,,68,19,952,161,707,84,3
,Upper Saddle River,4,0,,1,2,45,5,31,9,0
,Ventnor City,14,0,,7,6,319,110,207,2,1
,Vernon Township,3,0,,2,1,318,32,280,6,1
,Verona,4,0,,1,2,65,17,44,4,0
,Vineland,267,2,,113,139,"2,243",450,"1,762",31,5
,Waldwick,1,0,,0,1,37,7,30,0,0
,Wallington,8,0,,3,4,117,18,89,10,0
,Wall Township,10,0,,3,6,344,52,287,5,2
,Wanaque,10,0,,3,5,74,15,57,2,2
,Warren Township,4,0,,2,2,73,19,52,2,0
,Washington,10,2,,1,7,70,16,54,0,0
,"Washington Township, Bergen County",0,0,,0,0,47,12,31,4,0
,"Washington Township, Gloucester County",31,0,,19,12,897,209,663,25,2
,"Washington Township, Morris County",7,0,,0,7,33,4,29,0,0
,"Washington Township, Warren County",2,0,,1,1,45,6,39,0,0
,Watchung,8,0,,4,4,343,17,322,4,0
,Waterford Township,9,0,,1,5,84,28,47,9,1
,Wayne Township,37,0,,16,20,"1,053",98,917,38,0
,Weehawken Township,19,0,,7,11,263,44,204,15,1
,Wenonah,1,0,,1,0,15,5,9,1,0
,Westampton Township,19,0,,8,9,194,30,155,9,0
,West Amwell Township,5,0,,0,3,10,3,7,0,0
,West Caldwell Township,5,0,,1,4,51,5,45,1,0
,West Cape May,0,0,,0,0,22,4,18,0,0
,West Deptford Township,11,1,,6,3,377,123,244,10,1
,Westfield,19,0,,6,13,274,49,217,8,0
,West Long Branch,6,0,,3,3,181,51,127,3,0
,West Milford Township,21,0,,4,15,257,87,156,14,1
,West New York,153,0,,64,85,564,120,405,39,2
,West Orange,102,1,,36,59,706,136,487,83,1
,Westville,18,0,,9,8,113,28,78,7,0
,West Wildwood,4,0,,0,3,22,3,18,1,0
,West Windsor Township,12,0,,5,5,372,46,319,7,0
,Westwood,5,0,,1,4,42,3,37,2,0
,Wharton,6,0,,4,1,118,17,100,1,0
,Wildwood,85,0,,25,51,611,147,453,11,0
,Wildwood Crest,6,0,,0,6,133,41,90,2,0
,Willingboro Township,123,2,,43,60,684,256,404,24,3
,Winfield Township,1,0,,0,1,18,9,8,1,0
,Winslow Township,72,1,,23,46,491,143,331,17,5
,Woodbridge Township,116,0,,52,59,"1,815",250,"1,480",85,10
,Woodbury,31,0,,29,2,480,82,382,16,1
,Woodbury Heights,5,0,,4,1,59,9,49,1,0
,Woodcliff Lake,0,0,,0,0,39,2,36,1,0
,Woodland Park,5,0,,4,1,170,29,132,9,0
,Woodlynne,10,0,,2,8,61,8,47,6,0
,Wood-Ridge,2,0,,0,2,37,4,31,2,0
,Woodstown,4,0,,0,3,79,22,55,2,0
,Woolwich Township,2,0,,0,2,53,13,40,0,0
,Wyckoff Township,2,0,,2,0,86,18,66,2,0
NEW MEXICO,Alamogordo,93,2,,3,83,968,125,803,40,5
,Albuquerque,"4,934",30,,"1,381","3,121","30,437","6,123","20,756","3,558",86
,Angel Fire,2,0,,0,2,35,12,22,1,
,Anthony,39,1,,1,36,131,38,73,20,
,Artesia,153,0,,1,143,400,104,282,14,
,Aztec,23,0,,0,20,154,35,112,7,1
,Bayard,13,0,,0,11,25,5,17,3,
,Belen,140,0,,5,132,517,136,349,32,3
,Bernalillo,79,0,,8,66,383,94,265,24,
,Bloomfield,29,0,,0,25,146,37,106,3,
,Bosque Farms,22,0,,0,22,59,9,45,5,
,Carlsbad,143,2,,13,101,"1,227",262,833,132,8
,Carrizozo,0,0,,0,0,11,4,7,0,
,Cimarron,15,0,,0,15,21,16,5,0,
,Clayton,0,0,,0,0,28,8,20,0,
,Clovis,144,2,,22,91,"2,317",512,"1,696",109,33
,Corrales,9,0,,1,7,112,43,62,7,1
,Deming,155,0,,9,140,714,184,503,27,4
,Dexter,2,0,,0,2,11,3,4,4,
,Edgewood,4,0,,0,3,83,13,66,4,
,Espanola,265,0,,37,223,625,347,244,34,3
,Estancia,0,0,,0,0,15,5,9,1,
,Eunice,7,0,,0,7,47,16,24,7,
,Farmington,301,2,,52,191,"1,521",307,"1,116",98,14
,Gallup,480,3,,78,374,"2,365",364,"1,893",108,2
,Grants,53,0,,6,37,294,134,110,50,3
,Hatch,1,0,,0,1,23,2,18,3,1
,Hobbs,246,5,,24,180,"1,582",315,"1,174",93,2
,Hurley,0,0,,0,0,10,6,4,0,
,Jal,11,0,,1,9,29,9,19,1,
,Las Cruces,295,7,,60,173,"4,614",828,"3,563",223,5
,Las Vegas,131,1,,12,110,457,152,291,14,7
,Logan,3,0,,0,3,14,3,10,1,
,Lordsburg,12,0,,0,12,40,14,22,4,1
,Los Alamos,42,0,,1,32,174,23,149,2,2
,Los Lunas,124,2,,8,111,737,128,551,58,
,Loving,7,0,,1,6,23,2,19,2,
,Lovington,10,0,,1,7,40,12,25,3,
,Magdalena,1,0,,0,1,24,10,14,0,1
,Mesilla,1,0,,0,1,16,10,5,1,
,Milan,18,0,,0,18,111,36,68,7,
,Moriarty,1,0,,0,1,49,19,25,5,2
,Peralta,30,0,,2,28,77,28,41,8,
,Portales,23,0,,1,21,407,181,212,14,1
,Questa,0,0,,0,0,8,1,7,0,
,Raton,4,1,,3,0,213,116,87,10,2
,Red River,4,0,,0,4,13,1,12,0,
,Rio Rancho,175,1,,28,136,"1,814",409,"1,293",112,13
,Roswell,372,8,,35,280,"3,057",642,"2,278",137,58
,Ruidoso,24,0,,1,19,238,101,126,11,1
,Ruidoso Downs,10,0,,0,9,181,28,148,5,
,Santa Clara,1,0,,0,1,33,12,19,2,1
,Santa Fe,244,3,,73,145,"3,017","1,157","1,747",113,10
,Santa Rosa,19,0,,0,19,52,14,35,3,
,San Ysidro,1,0,,0,1,3,3,0,0,
,Socorro,68,0,,4,63,473,122,335,16,
,Springer,0,0,,0,0,0,0,0,0,
,Sunland Park,16,0,,5,4,148,46,91,11,1
,Taos,54,0,,6,45,611,194,399,18,3
,Taos Ski Valley,0,0,,0,0,4,1,3,0,
,Tatum,2,0,,0,2,14,6,7,1,
,Tucumcari,36,0,,5,29,158,51,103,4,
,Tularosa,1,0,,0,1,48,16,31,1,
NEW YORK,Adams Village,0,0,,0,0,11,1,10,0,0
,Addison Town and Village,2,0,,1,1,49,1,47,1,0
,Afton Village6,0,0,0,0,0,1,0,1,0,0
,Akron Village,1,0,,0,1,17,0,17,0,0
,Albany6,802,8,54,237,503,"3,888",683,"3,083",122,12
,Albion Village6,26,0,3,2,21,204,41,159,4,0
,Alexandria Bay Village6,0,0,0,0,0,7,2,5,0,0
,Alfred Village6,11,1,1,0,9,30,6,24,0,0
,Altamont Village6,1,0,0,0,1,2,2,0,0,0
,Amherst Town6,128,1,16,43,68,"2,066",176,"1,846",44,2
,Amity Town and Belmont Village6,0,0,0,0,0,0,0,0,0,0
,Amityville Village,12,0,,11,1,198,10,175,13,1
,Amsterdam,27,0,,15,12,490,107,370,13,3
,Angelica Village6,1,0,0,0,1,6,4,2,0,0
,Arcade Village,0,0,,0,0,25,7,18,0,0
,Ardsley Village,1,0,,0,1,25,6,19,0,
,Asharoken Village,0,0,,0,0,6,0,4,2,0
,Attica Village,0,0,,0,0,12,0,12,0,2
,Avon Village6,2,0,0,1,1,14,1,11,2,0
,Baldwinsville Village6,2,0,1,0,1,65,1,60,4,0
,Ballston Spa Village6,8,0,0,2,6,73,21,51,1,0
,Batavia6,71,0,17,12,42,599,115,476,8,3
,Bath Village6,14,0,3,3,8,148,21,126,1,1
,Beacon6,43,0,3,17,23,245,38,201,6,0
,Bedford Town6,2,0,1,0,1,123,12,109,2,1
,Bethlehem Town6,34,0,7,6,21,454,58,385,11,3
,Binghamton6,305,1,49,82,173,"2,048",343,"1,653",52,5
,Black River,0,0,,0,0,3,1,2,0,0
,Blooming Grove Town6,8,0,0,2,6,86,18,59,9,0
,Bolton Town,0,0,,0,0,9,3,6,0,0
,Boonville Village,1,0,,0,1,10,0,10,0,0
,Brant Town,1,0,,0,1,21,9,12,0,0
,Brewster,0,0,,0,0,9,2,6,1,0
,Briarcliff Manor Village,2,0,,0,2,17,4,13,0,0
,Brighton Town6,26,0,4,8,14,854,75,754,25,0
,Brockport Village6,10,0,1,1,8,128,23,104,1,1
,Bronxville Village,2,0,,2,0,25,5,20,0,0
,Brownville Village,0,0,,0,0,5,1,4,0,0
,Buffalo6,"3,174",60,174,"1,277","1,663","12,449","3,119","8,362",968,
,Cairo Town6,3,0,0,0,3,55,13,41,1,0
,Cambridge Village6,1,0,0,0,1,32,5,27,0,0
,Camden Village,2,0,,0,2,35,4,31,0,0
,Camillus Town and Village,13,0,,3,10,470,35,429,6,0
,Canajoharie Village,1,0,,0,1,12,2,10,0,0
,Canandaigua6,48,0,18,2,28,301,56,237,8,1
,Canastota Village6,8,0,1,1,6,75,8,64,3,0
,Canisteo Village,1,0,,0,1,9,2,7,0,2
,Canton Village6,1,0,0,0,1,33,3,30,0,1
,Carmel Town6,12,0,0,2,10,206,42,159,5,1
,Carroll Town,4,0,,0,4,4,0,4,0,0
,Carthage Village6,3,0,1,0,2,62,14,44,4,0
,Cattaraugus Village,1,0,,0,1,2,1,1,0,0
,Cayuga Heights Village6,2,1,0,1,0,38,15,23,0,0
,Cazenovia Village6,2,0,2,0,0,41,6,35,0,0
,Central Square Village,4,0,,1,3,40,5,34,1,0
,Centre Island Village6,0,0,0,0,0,2,0,2,0,0
,Chatham Village,0,0,,0,0,9,0,9,0,0
,Cheektowaga Town6,202,1,25,66,110,"2,699",300,"2,324",75,8
,Chester Town6,3,0,1,1,1,22,0,20,2,0
,Chester Village6,6,0,0,3,3,108,8,98,2,0
,Chittenango Village6,1,0,0,0,1,42,9,33,0,0
,Cicero Town6,19,0,2,4,13,477,54,417,6,0
,Clarkstown Town6,73,1,13,26,33,"1,458",83,"1,348",27,2
,Clayton Village6,0,0,0,0,0,2,0,2,0,0
,Clyde Village6,2,0,1,1,0,38,9,28,1,0
,Cobleskill Village,0,0,,0,0,151,13,137,1,0
,Coeymans Town,20,1,,3,16,63,14,44,5,0
,Cohoes6,42,0,4,12,26,225,51,153,21,7
,Colonie Town6,72,0,5,37,30,"2,010",187,"1,786",37,9
,Cooperstown Village6,0,0,0,0,0,12,1,9,2,0
,Corning6,38,0,2,4,32,342,48,289,5,0
,Cornwall-on-Hudson Village,2,0,,0,2,23,3,20,0,0
,Cornwall Town6,0,0,0,0,0,47,9,38,0,0
,Coxsackie Village6,2,0,1,0,1,8,2,5,1,1
,Crawford Town6,11,0,0,0,11,79,18,61,0,2
,Croton-on-Hudson Village6,3,0,0,0,3,43,3,40,0,0
,Deerpark Town6,8,0,1,3,4,126,33,91,2,0
,Delhi Village6,5,0,0,1,4,42,10,30,2,0
,Depew Village6,15,0,5,4,6,251,42,207,2,0
,Dewitt Town,20,0,,7,13,685,97,577,11,0
,Dexter Village,0,0,,0,0,9,1,8,0,0
,Dobbs Ferry Village,3,0,,1,2,96,11,81,4,2
,Dolgeville Village6,2,0,0,0,2,32,7,25,0,0
,Dryden Village6,1,0,1,0,0,80,13,64,3,1
,Dunkirk6,44,0,2,13,29,241,44,194,3,0
,Durham Town6,1,0,0,0,1,4,0,4,0,0
,East Aurora-Aurora Town6,8,0,1,3,4,128,14,111,3,5
,Eastchester Town,6,0,,2,4,140,25,112,3,0
,East Greenbush Town,22,2,,7,13,371,41,325,5,0
,East Hampton Town6,7,0,1,0,6,280,36,241,3,0
,East Hampton Village,0,0,,0,0,61,4,56,1,0
,East Rochester Village6,11,0,1,3,7,75,7,67,1,0
,East Syracuse Village,7,0,,1,6,206,29,171,6,0
,Eden Town6,3,0,2,0,1,28,6,21,1,0
,Ellenville Village,12,0,,2,10,115,38,75,2,1
,Ellicott Town6,7,0,5,1,1,270,30,230,10,3
,Elmira,80,1,,29,50,964,230,712,22,3
,Elmira Heights Village,1,0,,0,1,77,10,64,3,0
,Elmira Town,1,0,,1,0,4,2,2,0,0
,Elmsford Village6,2,0,0,2,0,36,6,21,9,0
,Endicott Village6,75,0,4,23,48,611,109,488,14,0
,Fairport Village6,4,0,1,0,3,48,10,36,2,0
,Fallsburg Town6,12,0,2,0,10,105,53,50,2,0
,Fishkill Town,7,0,,2,5,266,13,250,3,1
,Fishkill Village6,0,0,0,0,0,30,0,28,2,0
,Floral Park Village,9,0,,4,5,47,8,38,1,0
,Florida Village6,0,0,0,0,0,24,2,22,0,0
,Fort Edward Village6,1,0,0,0,1,8,2,5,1,0
,Fort Plain Village6,7,0,1,1,5,61,13,47,1,0
,Frankfort Town6,1,0,0,0,1,38,8,27,3,0
,Frankfort Village6,0,0,0,0,0,36,10,26,0,0
,Franklinville Village,3,0,,0,3,21,2,19,0,0
,Fredonia Village6,9,0,1,1,7,236,30,202,4,0
,Freeport Village6,150,2,1,77,70,848,98,687,63,3
,Friendship Town6,5,0,1,0,4,17,5,12,0,0
,Fulton City,15,0,,7,8,455,72,381,2,1
,Garden City Village,12,1,,8,3,279,25,246,8,0
,Gates Town6,64,1,9,21,33,"1,037",106,903,28,0
,Geddes Town,4,0,,2,2,244,16,221,7,0
,Geneseo Village,4,0,,1,3,112,8,103,1,0
,Geneva,19,0,,4,15,350,79,267,4,5
,Germantown Town,0,0,,0,0,3,1,1,1,0
,Glen Cove,6,0,,6,0,97,19,72,6,1
,Glen Park Village,0,0,,0,0,2,0,2,0,0
,Glens Falls6,25,0,8,4,13,338,39,293,6,1
,Glenville Town6,6,0,2,1,3,470,33,431,6,2
,Gloversville6,39,0,1,12,26,677,99,562,16,2
,Goshen Village,5,0,,1,4,51,3,47,1,0
,Gowanda Village,8,0,,0,8,78,18,59,1,0
,Granville Village,1,0,,1,0,21,10,10,1,0
,Greece Town6,169,1,34,48,86,"2,430",296,"2,073",61,0
,Greenburgh Town6,61,0,7,20,34,602,68,511,23,0
,Greene Village,0,0,,0,0,16,2,13,1,0
,Green Island Village6,3,0,0,0,3,46,6,37,3,0
,Greenport Town6,1,0,0,0,1,169,5,162,2,0
,Greenwich Village,0,0,,0,0,20,3,17,0,0
,Greenwood Lake Village6,3,0,1,0,2,36,6,27,3,0
,Groton Village6,3,0,0,1,2,49,11,38,0,0
,Guilderland Town6,25,4,5,4,12,669,62,602,5,1
,Hamburg Town6,51,0,4,11,36,"1,042",124,894,24,3
,Hamburg Village6,6,0,1,2,3,129,21,107,1,1
,Hamilton Village6,0,0,0,0,0,26,7,19,0,0
,Hammondsport Village,0,0,,0,0,10,4,6,0,0
,Harriman Village6,1,0,0,0,1,29,5,23,1,1
,Harrison Town6,5,0,0,0,5,129,17,111,1,0
,Hastings-on-Hudson Village,1,0,,0,1,55,3,50,2,1
,Haverstraw Town,46,1,,19,26,268,55,204,9,0
,Hempstead Village,477,8,,248,221,965,201,607,157,3
,Herkimer Village,55,0,,8,47,390,32,358,0,2
,Highlands Town6,2,0,0,0,2,19,3,16,0,0
,Holley Village6,3,0,1,0,2,35,10,24,1,0
,Homer Village,1,0,,0,1,57,14,41,2,0
,Hoosick Falls Village6,3,0,0,1,2,35,3,31,1,0
,Hornell6,5,0,0,0,5,116,13,101,2,0
,Hudson6,27,0,6,4,17,167,17,148,2,0
,Hudson Falls Village6,7,0,4,1,2,110,16,91,3,1
,Huntington Bay Village,0,0,,0,0,13,2,11,0,0
,Hyde Park Town,14,0,,4,10,137,25,107,5,0
,Ilion Village6,13,0,2,0,11,130,18,109,3,0
,Independence Town,0,0,,0,0,9,3,6,0,0
,Inlet Town6,0,0,0,0,0,15,0,14,1,0
,Interlaken Village,0,0,,0,0,3,0,3,0,0
,Irondequoit Town6,74,0,9,33,32,"1,414",254,"1,125",35,3
,Irvington Village,1,0,,0,1,18,5,13,0,0
,Jamestown6,221,1,43,45,132,"1,285",354,882,49,15
,Johnson City Village6,44,1,3,8,32,"1,090",132,950,8,1
,Johnstown,11,0,,4,7,286,26,255,5,2
,Jordan Village,0,0,,0,0,6,0,5,1,0
,Kenmore Village6,16,0,0,2,14,315,46,260,9,0
,Kensington Village,0,0,,0,0,0,0,0,0,0
,Kent Town6,2,0,1,1,0,80,19,61,0,0
,Kings Point Village,0,0,,0,0,10,0,7,3,0
,Kingston6,67,2,5,25,35,672,87,578,7,1
,Kirkland Town6,2,0,0,0,2,67,19,45,3,0
,Lackawanna6,77,1,3,10,63,412,86,299,27,7
,Lake Placid Village,2,0,,0,2,29,6,22,1,0
,Lake Success Village6,2,0,0,0,2,28,11,17,0,1
,Lakewood-Busti6,11,0,9,1,1,414,31,382,1,0
,Lancaster Town6,15,0,3,2,10,431,35,392,4,2
,Larchmont Village6,0,0,0,0,0,99,7,91,1,0
,Le Roy Village6,6,0,0,1,5,82,18,63,1,0
,Lewisboro Town6,0,0,0,0,0,5,0,5,0,0
,Lewiston Town and Village6,6,0,0,2,4,126,20,99,7,1
,Liberty Village6,20,0,6,3,11,215,39,170,6,0
,Little Falls6,9,0,3,0,6,122,15,105,2,0
,Liverpool Village6,4,0,1,1,2,44,5,38,1,0
,Lloyd Harbor Village,0,0,,0,0,14,0,13,1,0
,Lloyd Town,5,0,,0,5,115,12,100,3,0
,Long Beach6,40,1,0,12,27,264,31,226,7,1
,Lowville Village6,6,0,1,0,5,47,5,42,0,0
,Lynbrook Village6,15,0,1,4,10,165,13,142,10,0
,Lyons Village6,14,0,2,5,7,157,31,124,2,1
,Macedon Town and Village6,2,0,1,0,1,41,8,33,0,0
,Malone Village6,3,0,2,1,0,186,33,152,1,1
,Malverne Village,1,0,,0,1,7,0,7,0,0
,Mamaroneck Town,1,0,,1,0,117,20,95,2,0
,Mamaroneck Village,20,0,,1,19,172,28,141,3,0
,Manchester Village,0,0,,0,0,1,1,0,0,0
,Manlius Town6,15,0,1,4,10,376,59,311,6,1
,Marcellus Village6,1,0,1,0,0,11,3,8,0,0
,Marlborough Town,8,0,,0,8,93,25,66,2,0
,Massena Village6,22,0,4,6,12,332,44,284,4,0
